SampleID	Body_Weight	Hemoglobin	Hematocrite	Fecal_Iron	SI_Iron.content	Liver_iron
A01	27	15	45	7.93912795	29.1180676	34.4103628
A02	29.4	14.8	44.4	8.222856154	31.2330364	36.2037004
A03	28.5	13.5	40.5	10.88278599	33.4747084	36.4278676
A04	29.28	13.5	40.5	9.020114226	23.2507348	28.4650588
A05	26.8	13	39	10.86472395	26.5645108	30.7944484
A06	26.6	14.8	44.4	11.08368638	27.4027012	30.0927076
A07	31.1	13.3	39.9	7.810565634	20.7330048	25.5650588
A08	31.32	14.4	42.9	10.85977779	23.5630408	31.2345484
A09	30.3	14.3	42.9	8.13311954	25.3007012	32.56727076
B10	27.6	10.8	32.4	0.289901669	14.7226348	8.270518
B11	28.6	12.6	37.8	0.310492541	15.3171652	9.1184548
B12	27.8	12.1	36.3	0.294576137	16.262566	8.757838
B13	27.4	10.5	31.5	0.313430628	11.3601268	25.6483492
B14	27.5	12.5	37.5	0.294370837	11.925418	29.6053876
B15	26.58	12	36	0.236145825	9.6642532	26.5352716
B16	27.19	12.4	37.2	0.291231764	12.3633338	24.6345492
B17	25.34	10.2	30.6	0.365922333	10.23452542	28.3453876
B18	28.4	12.4	37.2	0.309072614	8.23455532	24.5667716
C19	31.13	14.7	44.1	23.37257183	59.9166916	86.53411
C20	28.4	11.9	35.7	18.07776562	63.824998	89.3995516
C21	29.4	13.1	39.3	29.55590335	68.893126	88.0837876
C22	32.33	14.4	43.2	21.02659786	46.9344868	78.2204308
C23	32.6	13.3	39.9	24.67187761	50.0630812	68.2985956
C24	28.5	13.2	39.6	48.31881823	46.135282	70.7059564
C25	31.9	13.5	40.5	42.11710516	50.3344868	79.111308
C26	30.6	13.6	40.8	71.76860356	48.5550812	67.293356
C27	30.34	14.2	42.6	25.6774453	47.6778566	71.3444564
